Name,Category,TVL,1d Change,7d Change,1m Change,Mcap/TVL,Fees 24h,Revenue 24h,Holders Revenue 24h,Incentives 24h,Fees 7d,Revenue 7d,Holders Revenue 7d,Incentives 7d,Fees 30d,Revenue 30d,Holders Revenue 30d,Incentives 30d,Fees 1Y,Monthly Avg 1Y Fees,Revenue 1Y,Holders Revenue 1Y,Monthly Avg 1Y Rev,Monthly Avg 1Y Holders Revenue,Incentives 1Y,Monthly Avg 1Y Incentives,Cumulative Fees,Cumulative Revenue,Cumulative Holders Revenue,Cumulative Incentives,P/F,P/S,Earnings 24h,Earnings 7d,Earnings 30d,Earnings 1Y,Monthly Avg 1Y Earnings,Cumulative Earnings,Spot Volume 24h,Spot Volume 7d,Spot Change 7d,Spot Cumulative Volume
"""Nest Credit""",RWA,36350380.32567148,0.2580093522924732,0.43880701718762344,-16.34364155858836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Steer Protocol""",Liquidity manager,36140326.56119007,-1.4169426255492608,-10.106835407711966,-7.074325693690787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NodeDAO""",Liquid Staking,35916553.61370807,-4.523318032896917,-25.568358451280048,-35.10000806079835,,2604,0,,,20941,0,,,119444,0,,,1768730,147507.23616438356,0,,,,,,3278518,0,,,,,,,,,,,,,,
"""Curvance""",Lending,35846948.833093755,-2.336841790878086,-8.262504825257901,-12.40291589539314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Pharaoh Exchange""",Dexs,35684845.82079615,-0.5512558368167495,-18.57880844202147,-35.682011173185586,,39822,38943,38923,,194282,188123,188033,,719887,679855,679262,,19053209,2315338.6548808636,14520932,14269098,1911767.9526973849,1889425.031447627,,,24343344,18612301,18037887,,0,0,38943,188123,679855,14520932,1911767.9526973849,18612301,86848293,377660061,93.40000000000002,23636123479
"""3jane""",,35655827.5764492,-1.272618081680322,-28.74171090612876,-16.78901133782122,,4648,0,,,6798,0,,,26397,0,,,113616,21615.444000000003,0,,0,,,,118264,0,,,,,,,,,,,,,,
"""GLIF""",Liquid Staking,35567227.579027995,-0.7748246142109271,-14.342803724819978,-26.333147887994702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Cetus""",,35535815.98577357,-1.3027224194414893,-22.71300437835342,-28.425450916561367,0.46,34241,6848,,0,264399,52878,,0,1012618,202519,,0,42315573,3541407.5637698635,8463113,,708280.5787046576,,0,0,98418623,19683724,,0,1.36,6.8,6848,52878,202519,8463113,708280.5787046576,19683724,58679531,346145459,40.62,81945724881
"""Chain Fusion""",Decentralized BTC,35480328.94951543,-3.2616253260683035,-14.03569863842071,-13.12285290519283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Agni Finance""",Dexs,34667040.21987182,-2.1834626686470173,-14.076672811920114,-8.540935464288399,,10782,,,,56603,,,,130818,,,,3022251,252047.45326027396,,,,,,,5731251,,,,,,,,,,,,6742503,38821186,177.39,6581200817
"""LiNEAR Protocol""",Liquid Staking,33998859.67775286,-2.667426572638151,-20.843375647100356,-31.796913536419545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Canopy""",Yield Aggregator,33540188.15542502,-0.7824914442955619,259.004577762615,-9.483136099618644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Alchemix""",Synthetics,33321027.49617078,-1.5853073623313705,-20.04365472535387,-23.319917241345934,0.44,0,0,,,0,0,,,0,0,,,30506,2544.1168219178085,30506,,2544.1168219178085,,,,1670262,222512,,,,,,,,30506,2544.1168219178085,222512,,,,
"""Amnis Finance""",Liquid Staking,33065897.479411963,-1.5101280325448865,-20.131730881851517,-34.57610437212048,0.03,0,0,0,,2835,198,0,,81291,5690,0,,7810756,651395.6510684931,546752,0,45597.61884931507,,,,13407520,938525,0,,1.14,16.26,,198,5690,546752,45597.61884931507,938525,,,,
"""Frankencoin""",CDP,33040260.638590712,-3.0471806449271566,,11.650521102243182,0.88,3294,2571,0,,51581,26773,0,,240051,209607,0,,741439,61833.98126027398,670482,0,55916.3618630137,,,,1123230,1044461,0,,10.11,11.58,2571,26773,209607,670482,55916.3618630137,1044461,,,,
